well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
K19,7071145.967258318,159.96023760651448,256608,256661
K19,9163943.040980985,287.9079764829391,256609,256662
K19,10906076.507376792,294.43196871311306,256612,256665
K19,6379435.290339219,236.40315451073596,256613,256666
K19,6677996.443158832,185.9016213750289,256614,256667
K19,15087615.775047868,321.6936929150008,256615,256668
K19,10580297.174026849,321.9684083073978,256618,256671
K19,9867980.6616572,243.2119712686319,256619,256672
K19,7406390.0680905795,353.49986851670724,256620,256673
K19,5771458.485498642,140.9216698616319,256621,256674
K19,6332931.363429464,199.25171331732787,256623,256676
K19,10198863.416048918,327.73839684278755,256624,256677
